date,entries,exits,win_rate,pnl_total,vol_flt,htf_trd,adapt_thr,riskguard,chop,veto,regime_trend_pct,regime_chop_pct,regime_highvol_pct
2026-05-10,0,0,0.0,0.0,0,0,0,0,0,0,100.0,0.0,0.0
2026-05-11,0,0,0.0,0.0,0,0,0,0,0,0,100.0,0.0,0.0
2026-05-12,0,0,0.0,0.0,0,0,0,0,0,0,100.0,0.0,0.0
