date,open,high,low,close,volume,ret1,ret_lag_1,ret_lag_2,ret_lag_3,ret_lag_5,ret_lag_10,ema_100,ema_diff_100,ema_1,ema_diff_1,ema_20,ema_diff_20,ema_5,ema_diff_5,tr,atr14,vol_12,vol_48,hour_sin,hour_cos,dow_sin,dow_cos,regime,vol_short,vol_long,vol_ratio_strategic,drawdown,max_drawdown_window,atr_pct,atr_pct_ma,atr_pct_ratio,vol_state,allow_trading,recommended_leverage,max_exposure_frac,stake_long_frac,stake_short_frac,stop_loss_frac,take_profit_frac,max_hold_hours
2025-12-12 09:00:00,92342.38,92553.33,92094.0,92520.56,361.00119,0.00193,-0.0009,-0.00095,0.00075,0.00123,0.00175,91430.91173,-1089.64827,92520.56,0.0,91913.95875,-606.60125,92428.97093,-91.58907,459.33,725.20214,0.00444,0.00452,0.70711,-0.70711,-0.43388,-0.90097,trend,0.00499,0.00495,1.0083,-0.0047,-0.04929,0.00784,0.00695,1.12767,1.0,1.0,5.0,0.6,0.2,0.1,0.015,0.03,8.0
2025-12-12 10:00:00,92520.56,92650.01,92408.33,92492.32,429.06609,-0.00031,0.00193,-0.0009,-0.00095,0.00052,-0.01016,91451.92972,-1040.39028,92492.32,0.0,91969.04077,-523.27923,92450.08729,-42.23271,241.68,668.64786,0.00413,0.0044,0.5,-0.86603,-0.43388,-0.90097,trend,0.005,0.00495,1.01012,-0.00501,-0.04929,0.00723,0.00696,1.03835,1.0,1.0,5.0,0.6,0.2,0.1,0.015,0.03,8.0
2025-12-12 11:00:00,92492.32,92492.33,92275.86,92418.19,207.72939,-0.0008,-0.00031,0.00193,-0.0009,0.00075,0.00651,91471.06359,-947.12641,92418.19,0.0,92011.81689,-406.37311,92439.45486,21.26486,216.47,552.04286,0.00411,0.0044,0.25882,-0.96593,-0.43388,-0.90097,trend,0.005,0.00495,1.00991,-0.0058,-0.04929,0.00597,0.00697,0.85736,1.0,1.0,5.0,0.6,0.2,0.1,0.015,0.03,8.0
2025-12-12 12:00:00,92418.19,92420.0,92070.55,92419.99,537.64944,2e-05,-0.0008,-0.00031,0.00193,-0.00095,0.00454,91489.85421,-930.13579,92419.99,0.0,92050.69052,-369.29948,92432.96657,12.97657,349.45,496.50786,0.00262,0.00439,0.0,-1.0,-0.43388,-0.90097,trend,0.00495,0.00495,1.00093,-0.00578,-0.04929,0.00537,0.00697,0.77096,1.0,1.0,5.0,0.6,0.2,0.1,0.015,0.03,8.0
2025-12-12 13:00:00,92420.0,92531.38,92240.14,92302.79,478.10614,-0.00127,2e-05,-0.0008,-0.00031,-0.0009,-0.0033,91505.95195,-796.83805,92302.79,0.0,92074.69999,-228.09001,92389.57438,86.78438,291.24,484.30429,0.00194,0.00439,-0.25882,-0.96593,-0.43388,-0.90097,trend,0.00497,0.0049,1.01473,-0.00704,-0.04929,0.00525,0.00696,0.75333,1.0,1.0,5.0,0.6,0.2,0.1,0.015,0.03,8.0
2025-12-12 14:00:00,92302.79,92660.74,91903.34,92444.0,1038.4462,0.00153,-0.00127,2e-05,-0.0008,0.00193,0.00123,91524.52715,-919.47285,92444.0,0.0,92109.87142,-334.12858,92407.71625,-36.28375,757.4,452.43143,0.00145,0.00438,-0.5,-0.86603,-0.43388,-0.90097,trend,0.00473,0.0049,0.96538,-0.00553,-0.04929,0.00489,0.00696,0.70345,0.0,1.0,5.0,1.0,0.2,0.1,0.015,0.03,8.0
2025-12-12 15:00:00,92444.0,92445.94,89780.0,89935.14,3505.93103,-0.02714,0.00153,-0.00127,2e-05,-0.00031,0.00052,91493.05414,1557.91414,89935.14,0.0,91902.75415,1967.61415,91583.52417,1648.38417,2665.94,586.96071,0.00795,0.00587,-0.70711,-0.70711,-0.43388,-0.90097,trend,0.00746,0.00533,1.39981,-0.03252,-0.04929,0.00653,0.00696,0.93832,1.0,1.0,5.0,0.6,0.2,0.1,0.015,0.03,8.0
2025-12-12 16:00:00,89935.13,90441.17,89480.0,90046.54,2093.36319,0.00124,-0.02714,0.00153,-0.00127,-0.0008,0.00075,91464.4103,1417.8703,90046.54,0.0,91725.97185,1679.43185,91071.19611,1024.65611,961.17,596.92214,0.00795,0.00587,-0.86603,-0.5,-0.43388,-0.90097,chop,0.00746,0.00514,1.45071,-0.03132,-0.04929,0.00663,0.00694,0.95466,1.0,1.0,1.0,0.6,0.1,0.05,0.02,0.04,4.0
2025-12-12 17:00:00,90046.53,90623.72,89826.75,90083.09,1168.98586,0.00041,0.00124,-0.02714,0.00153,2e-05,-0.00095,91437.05742,1353.96742,90083.09,0.0,91569.50691,1486.41691,90741.82741,658.73741,796.97,612.73214,0.00795,0.00586,-0.96593,-0.25882,-0.43388,-0.90097,chop,0.00744,0.00512,1.45245,-0.03092,-0.04929,0.0068,0.00693,0.98114,1.0,1.0,1.0,0.6,0.1,0.05,0.02,0.04,4.0
2025-12-12 18:00:00,90083.09,90666.0,90044.93,90372.0,894.36594,0.00321,0.00041,0.00124,-0.02714,-0.00127,-0.0009,91415.96717,1043.96717,90372.0,0.0,91455.45863,1083.45863,90618.55161,246.55161,621.07,632.30643,0.00806,0.00588,-1.0,-0.0,-0.43388,-0.90097,chop,0.00728,0.00511,1.42237,-0.02782,-0.04929,0.007,0.00692,1.01099,1.0,1.0,1.0,0.6,0.1,0.05,0.02,0.04,4.0
2025-12-12 19:00:00,90372.0,90399.99,90017.05,90198.22,502.61326,-0.00192,0.00321,0.00041,0.00124,0.00153,0.00193,91391.85337,1193.63337,90198.22,0.0,91335.72162,1137.50162,90478.44107,280.22107,382.94,629.58143,0.00805,0.00583,-0.96593,0.25882,-0.43388,-0.90097,chop,0.00728,0.00508,1.43166,-0.02865,-0.04929,0.00698,0.00691,1.01072,1.0,1.0,1.0,0.6,0.1,0.05,0.02,0.04,4.0
2025-12-12 20:00:00,90198.23,90334.77,89898.61,90214.08,503.97114,0.00018,-0.00192,0.00321,0.00041,-0.02714,-0.00031,91368.53112,1154.45112,90214.08,0.0,91228.89861,1014.81861,90390.32071,176.24071,436.16,637.87857,0.00807,0.00579,-0.86603,0.5,-0.43388,-0.90097,chop,0.00691,0.00507,1.36147,-0.02848,-0.04929,0.00707,0.00689,1.02613,1.0,1.0,1.0,0.6,0.1,0.05,0.02,0.04,4.0
2025-12-12 21:00:00,90214.08,90345.94,90100.0,90193.94,320.8382,-0.00022,0.00018,-0.00192,0.00321,0.00124,-0.0008,91345.27189,1151.33189,90193.94,0.0,91130.33112,936.39112,90324.86048,130.92048,245.94,633.44357,0.008,0.00579,-0.70711,0.70711,-0.43388,-0.90097,chop,0.0064,0.00507,1.26059,-0.02869,-0.04929,0.00702,0.00687,1.02162,1.0,1.0,1.0,0.6,0.1,0.05,0.02,0.04,4.0
2025-12-12 22:00:00,90193.94,90395.53,90184.92,90335.92,184.26184,0.00157,-0.00022,0.00018,-0.00192,0.00041,2e-05,91325.28473,989.36473,90335.92,0.0,91054.67292,718.75292,90328.54698,-7.37302,210.61,616.88357,0.00806,0.00579,-0.5,0.86603,-0.43388,-0.90097,chop,0.00635,0.00507,1.25186,-0.02716,-0.04929,0.00683,0.00686,0.99592,1.0,1.0,1.0,0.6,0.1,0.05,0.02,0.04,4.0
2025-12-12 23:00:00,90335.93,90404.13,90233.16,90268.42,167.73874,-0.00075,0.00157,-0.00022,0.00018,0.00321,-0.00127,91304.35671,1035.93671,90268.42,0.0,90979.79169,711.37169,90308.50466,40.08466,170.97,596.28643,0.00806,0.00574,-0.25882,0.96593,-0.43388,-0.90097,chop,0.00633,0.00507,1.24701,-0.02789,-0.04929,0.00661,0.00684,0.9656,1.0,1.0,1.0,0.6,0.1,0.05,0.02,0.04,4.0
2025-12-13 00:00:00,90268.43,90444.28,90207.2,90323.01,184.8182,0.0006,-0.00075,0.00157,-0.00022,-0.00192,0.00153,91284.92411,961.91411,90323.01,0.0,90917.24105,594.23105,90313.33977,-9.67023,237.08,595.95786,0.00807,0.00566,0.0,1.0,-0.97493,-0.22252,high_vol,0.00602,0.00507,1.18736,-0.0273,-0.04929,0.0066,0.00683,0.96672,1.0,1.0,2.0,0.6,0.1,0.05,0.03,0.06,2.0
2025-12-13 01:00:00,90323.01,90359.32,90120.0,90229.91,171.54055,-0.00103,0.0006,-0.00075,0.00157,0.00018,-0.02714,91264.03274,1034.12274,90229.91,0.0,90851.78095,621.87095,90285.52985,55.61985,239.32,597.59,0.00808,0.00555,0.25882,0.96593,-0.97493,-0.22252,high_vol,0.00583,0.00507,1.14973,-0.02831,-0.04929,0.00662,0.00681,0.97251,1.0,1.0,2.0,0.6,0.1,0.05,0.03,0.06,2.0
2025-12-13 02:00:00,90229.92,90318.0,90221.98,90232.77,158.12998,3e-05,-0.00103,0.0006,-0.00075,-0.00022,0.00124,91243.61169,1010.84169,90232.77,0.0,90792.82753,560.05753,90267.94323,35.17323,96.02,579.48786,0.00803,0.00547,0.5,0.86603,-0.97493,-0.22252,high_vol,0.00572,0.00507,1.12805,-0.02828,-0.04929,0.00642,0.00679,0.94519,1.0,1.0,2.0,0.6,0.1,0.05,0.03,0.06,2.0
2025-12-13 03:00:00,90232.77,90469.71,90205.52,90345.54,134.27456,0.00125,3e-05,-0.00103,0.0006,0.00157,0.00041,91225.82809,880.28809,90345.54,0.0,90750.22872,404.68872,90293.80882,-51.73118,264.19,577.55571,0.00135,0.00546,0.70711,0.70711,-0.97493,-0.22252,trend,0.00572,0.00507,1.12884,-0.02706,-0.04929,0.00639,0.00678,0.94256,1.0,1.0,5.0,0.6,0.2,0.1,0.015,0.03,8.0
2025-12-13 04:00:00,90345.55,90410.5,90268.91,90371.81,120.09938,0.00029,0.00125,3e-05,-0.00103,-0.00075,0.00321,91208.91685,837.10685,90371.81,0.0,90714.18884,342.37884,90319.80921,-52.00079,141.59,533.56929,0.00132,0.00539,0.86603,0.5,-0.97493,-0.22252,trend,0.00571,0.00507,1.12653,-0.02678,-0.04929,0.0059,0.00677,0.87206,1.0,1.0,5.0,0.6,0.2,0.1,0.015,0.03,8.0
2025-12-13 05:00:00,90371.81,90387.51,90269.0,90342.91,103.66062,-0.00032,0.00029,0.00125,3e-05,0.0006,-0.00192,91191.76819,848.85819,90342.91,0.0,90678.82895,335.91895,90327.50948,-15.40052,118.51,351.61,0.00133,0.00539,0.96593,0.25882,-0.97493,-0.22252,trend,0.0057,0.00507,1.12527,-0.02709,-0.04929,0.00389,0.00675,0.57649,1.0,1.0,5.0,0.6,0.2,0.1,0.015,0.03,8.0
2025-12-13 06:00:00,90342.92,90380.0,90270.65,90351.45,106.97274,9e-05,-0.00032,0.00029,0.00125,-0.00103,0.00018,91175.12823,823.67823,90351.45,0.0,90647.65,296.2,90335.48965,-15.96035,109.35,290.76571,0.00095,0.00539,1.0,0.0,-0.97493,-0.22252,trend,0.0057,0.00507,1.12401,-0.027,-0.04929,0.00322,0.00674,0.47758,1.0,1.0,5.0,0.6,0.2,0.1,0.015,0.03,8.0
2025-12-13 07:00:00,90351.45,90400.0,90318.56,90329.97,120.80251,-0.00024,9e-05,-0.00032,0.00029,3e-05,-0.00022,91158.39242,828.42242,90329.97,0.0,90617.39476,287.42476,90333.64977,3.67977,81.44,239.65643,0.00075,0.00539,0.96593,-0.25882,-0.97493,-0.22252,trend,0.0057,0.00507,1.12453,-0.02723,-0.04929,0.00265,0.00673,0.39449,1.0,1.0,5.0,0.6,0.2,0.1,0.015,0.03,8.0
2025-12-13 08:00:00,90329.98,90575.28,90318.67,90458.19,326.23501,0.00142,-0.00024,9e-05,-0.00032,0.00125,0.00157,91144.52703,686.33703,90458.19,0.0,90602.2324,144.0424,90375.16318,-83.02682,256.61,213.62357,0.00084,0.00539,0.86603,-0.5,-0.97493,-0.22252,trend,0.00572,0.00506,1.13006,-0.02585,-0.04929,0.00236,0.00671,0.35179,1.0,1.0,5.0,0.6,0.2,0.1,0.015,0.03,8.0
