date,open,high,low,close,volume,ret1,ret_lag_1,ret_lag_2,ret_lag_3,ret_lag_5,ret_lag_10,ema_2,ema_diff_2,ema_100,ema_diff_100,ema_5,ema_diff_5,ema_80,ema_diff_80,ema_20,ema_diff_20,tr,atr14,vol_12,vol_48,hour_sin,hour_cos,dow_sin,dow_cos,regime,future_close,future_ret
2025-11-06 02:00:00,103374.18,103402.45,102947.97,102953.0,1.91072,-0.00399,0.00071,0.0043,-0.00341,0.00262,0.00125,103071.94076,118.94076,103315.66199,362.66199,103189.63807,236.63807,103383.68949,430.68949,103488.10745,535.10745,454.48,1160.18143,0.00284,0.00249,0.5,0.86603,0.43388,-0.90097,chop,103632.11,0.0066
2025-11-06 02:15:00,102944.3,103124.0,102856.63,102917.71,0.90968,-0.00034,-0.00399,0.00071,0.0043,-0.00446,-0.00194,102969.12025,51.41025,103307.78176,390.07176,103098.99538,181.28538,103372.18382,454.47382,103433.78388,516.07388,267.37,1087.75143,0.00275,0.00249,0.55557,0.83147,0.43388,-0.90097,chop,103810.2,0.00867
2025-11-06 02:30:00,102917.7,103437.18,102888.73,103360.32,3.39306,0.0043,-0.00034,-0.00399,0.00071,-0.00341,-0.00106,103229.92008,-130.39992,103308.82212,-51.49788,103186.10359,-174.21641,103371.89089,11.57089,103426.78732,66.46732,548.45,718.29643,0.00308,0.00253,0.60876,0.79335,0.43388,-0.90097,chop,103767.82,0.00394
2025-11-06 02:45:00,103311.73,103561.94,103311.72,103353.51,7.81044,-7e-05,0.0043,-0.00034,-0.00399,0.0043,-0.00345,103312.31336,-41.19664,103309.70702,-43.80298,103241.90572,-111.60428,103371.43704,17.92704,103419.80853,66.29853,250.22,723.83071,0.00306,0.00252,0.65935,0.75184,0.43388,-0.90097,chop,103870.76,0.005
2025-11-06 03:00:00,103330.96,103567.93,103330.96,103554.21,2.17554,0.00194,-7e-05,0.0043,-0.00034,0.00071,-0.00035,103473.57779,-80.63221,103314.54867,-239.66133,103346.00715,-208.20285,103375.94995,-178.26005,103432.60867,-121.60133,236.97,724.71786,0.00312,0.00252,0.70711,0.70711,0.43388,-0.90097,chop,104030.8,0.0046
2025-11-06 03:15:00,103556.03,103976.3,103554.39,103580.48,2.85406,0.00025,0.00194,-7e-05,0.0043,-0.00399,0.00262,103544.84593,-35.63407,103319.81463,-260.66537,103424.16477,-156.31523,103381.00008,-199.47992,103446.69165,-133.78835,422.09,738.61357,0.00295,0.00248,0.75184,0.65935,0.43388,-0.90097,chop,103493.91,-0.00084
2025-11-06 03:30:00,103585.65,103780.0,103253.45,103652.92,5.79413,0.0007,0.00025,0.00194,-7e-05,-0.00034,-0.00446,103616.89531,-36.02469,103326.41078,-326.50922,103500.41651,-152.50349,103387.71415,-265.20585,103466.33245,-186.58755,526.55,744.45,0.00295,0.00246,0.79335,0.60876,0.43388,-0.90097,chop,103516.0,-0.00132
2025-11-06 03:45:00,103659.3,103717.81,103605.47,103632.11,2.87442,-0.0002,0.0007,0.00025,0.00194,0.0043,-0.00341,103627.03844,-5.07156,103332.46423,-299.64577,103544.31434,-87.79566,103393.74861,-238.36139,103482.12079,-149.98921,112.34,719.59357,0.00285,0.00245,0.83147,0.55557,0.43388,-0.90097,chop,103250.26,-0.00368
2025-11-06 04:00:00,103632.12,103837.29,103580.0,103810.2,3.55195,0.00172,-0.0002,0.0007,0.00025,-7e-05,0.0043,103749.14615,-61.05385,103341.92434,-468.27566,103632.94289,-177.25711,103404.03136,-406.16864,103513.36643,-296.83357,257.29,373.75643,0.00251,0.00239,0.86603,0.5,0.43388,-0.90097,chop,103125.56,-0.0066
2025-11-06 04:15:00,103820.02,103820.02,103736.0,103767.82,2.15603,-0.00041,0.00172,-0.0002,0.0007,0.00194,0.00071,103761.59538,-6.22462,103350.35792,-417.46208,103677.90193,-89.91807,103413.0138,-354.8062,103537.6001,-230.2199,84.02,359.92929,0.00222,0.00237,0.89687,0.44229,0.43388,-0.90097,chop,103269.58,-0.0048
2025-11-06 04:30:00,103767.82,103870.76,103695.6,103870.76,4.33559,0.00099,-0.00041,0.00172,-0.0002,0.00025,-0.00399,103834.37179,-36.38821,103360.66291,-510.09709,103742.18795,-128.57205,103424.31618,-446.44382,103569.32961,-301.43039,175.16,334.06071,0.00193,0.00238,0.92388,0.38268,0.43388,-0.90097,trend,103508.79,-0.00348
2025-11-06 04:45:00,103870.76,104200.0,103870.76,104030.8,4.20395,0.00154,0.00099,-0.00041,0.00172,0.0007,-0.00034,103965.32393,-65.47607,103373.93296,-656.86704,103838.39197,-192.40803,103439.29108,-591.50892,103613.27917,-417.52083,329.24,320.95,0.00195,0.00233,0.94693,0.32144,0.43388,-0.90097,trend,103354.36,-0.0065
2025-11-06 05:00:00,104030.79,104030.79,103425.67,103493.91,2.43897,-0.00516,0.00154,0.00099,-0.00041,-0.0002,0.0043,103651.04798,157.13798,103376.30874,-117.60126,103723.56465,229.65465,103440.6397,-53.2703,103601.91068,108.00068,605.12,321.86071,0.00221,0.00234,0.96593,0.25882,0.43388,-0.90097,trend,103335.39,-0.00153
2025-11-06 05:15:00,103514.59,103664.86,103413.57,103516.0,6.92653,0.00021,-0.00516,0.00154,0.00099,0.00172,-7e-05,103561.01599,45.01599,103379.0749,-136.9251,103654.37643,138.37643,103442.50045,-73.49955,103593.72871,77.72871,251.29,322.89929,0.0022,0.00223,0.98079,0.19509,0.43388,-0.90097,trend,103300.6,-0.00208
2025-11-06 05:30:00,103514.93,103533.24,103112.88,103250.26,4.59133,-0.00257,0.00021,-0.00516,0.00154,-0.00041,0.00194,103353.84533,103.58533,103376.52411,126.26411,103519.67095,269.41095,103437.75377,187.49377,103561.01741,310.75741,420.36,320.46214,0.002,0.00226,0.99144,0.13053,0.43388,-0.90097,chop,103419.35,0.00164
2025-11-06 05:45:00,103294.61,103303.28,103093.81,103125.56,1.38145,-0.00121,-0.00257,0.00021,-0.00516,0.00099,0.00025,103201.65511,76.09511,103371.55453,245.99453,103388.30064,262.74064,103430.04528,304.48528,103519.54527,393.98527,209.47,316.32643,0.00203,0.00227,0.99786,0.0654,0.43388,-0.90097,chop,103181.74,0.00054
2025-11-06 06:00:00,103125.55,103769.72,103033.73,103269.58,5.5618,0.0014,-0.00121,-0.00257,0.00021,0.00154,0.0007,103246.93837,-22.64163,103369.53523,99.95523,103348.72709,79.14709,103426.08318,156.50318,103495.73906,226.15906,735.99,329.72214,0.00198,0.00228,1.0,0.0,0.43388,-0.90097,chop,103211.98,-0.00056
2025-11-06 06:15:00,103256.72,103508.79,103256.71,103508.79,5.77589,0.00232,0.0014,-0.00121,-0.00257,-0.00516,-0.0002,103421.50612,-87.28388,103372.29275,-136.49725,103402.08139,-106.70861,103428.12532,-80.66468,103496.982,-11.808,252.08,329.855,0.00211,0.00229,0.99786,-0.0654,0.43388,-0.90097,chop,103273.39,-0.00227
2025-11-06 06:30:00,103508.78,103675.75,50000.0,103354.36,10.47139,-0.00149,0.00232,0.0014,-0.00121,0.00021,0.00172,103376.74204,22.38204,103371.93764,17.57764,103386.17426,31.81426,103426.30395,71.94395,103483.39895,129.03895,53675.75,4146.91071,0.00213,0.0023,0.99144,-0.13053,0.43388,-0.90097,chop,103318.12,-0.00035
2025-11-06 06:45:00,103354.35,103455.99,103306.73,103335.39,6.57145,-0.00018,-0.00149,0.00232,0.0014,-0.00257,-0.00041,103349.17401,13.78401,103371.21393,35.82393,103369.24617,33.85617,103424.05917,88.66917,103469.30286,133.91286,149.26,4127.42286,0.00213,0.00228,0.98079,-0.19509,0.43388,-0.90097,chop,103187.24,-0.00143
2025-11-06 07:00:00,103335.4,103528.71,103214.65,103300.6,7.69612,-0.00034,-0.00018,-0.00149,0.00232,-0.00121,0.00099,103316.79134,16.19134,103369.81563,69.21563,103346.36412,45.76412,103421.01079,120.41079,103453.23592,152.63592,314.06,4112.245,0.00204,0.00227,0.96593,-0.25882,0.43388,-0.90097,chop,103188.05,-0.00109
2025-11-06 07:15:00,103300.59,103715.02,99470.46,103419.35,10.28806,0.00115,-0.00034,-0.00018,-0.00149,0.0014,0.00154,103385.16378,-34.18622,103370.79651,-48.55349,103370.69274,-48.65726,103420.96978,1.61978,103450.00869,30.65869,4244.56,4407.40357,0.00209,0.00228,0.94693,-0.32144,0.43388,-0.90097,chop,103118.78,-0.00291
2025-11-06 07:30:00,103419.36,103769.72,103022.03,103181.74,8.62962,-0.0023,0.00115,-0.00034,-0.00018,0.00232,-0.00516,103249.54793,67.80793,103367.05282,185.31282,103307.7085,125.9685,103415.06288,233.32288,103424.45929,242.71929,747.69,4442.43214,0.00213,0.00229,0.92388,-0.38268,0.43388,-0.90097,chop,102963.47,-0.00212
2025-11-06 07:45:00,103181.74,103266.0,102954.6,103211.98,7.69586,0.00029,-0.0023,0.00115,-0.00034,-0.00149,0.00021,103224.50264,12.52264,103363.98207,152.00207,103275.799,63.819,103410.04848,198.06848,103404.22317,192.24317,311.4,4458.67357,0.00204,0.00227,0.89687,-0.44229,0.43388,-0.90097,chop,102988.44,-0.00217
2025-11-06 08:00:00,103211.98,103273.4,102971.99,103273.39,7.4856,0.00059,0.00029,-0.0023,0.00115,-0.00018,-0.00257,103257.09421,-16.29579,103362.18817,88.79817,103274.996,1.606,103406.6742,133.2842,103391.76287,118.37287,301.41,4467.69143,0.00149,0.00217,0.86603,-0.5,0.43388,-0.90097,chop,102845.01,-0.00415
2025-11-06 08:15:00,103273.39,103440.0,103271.21,103318.12,8.98449,0.00043,0.00059,0.00029,-0.0023,-0.00034,-0.00121,103297.77807,-20.34193,103361.31553,43.19553,103289.37067,-28.74933,103404.48768,86.36768,103384.74926,66.62926,168.79,4456.23071,0.0015,0.00208,0.83147,-0.55557,0.43388,-0.90097,chop,102867.67,-0.00436
2025-11-06 08:30:00,103318.12,103378.01,103180.98,103187.24,4.54461,-0.00127,0.00043,0.00059,0.00029,0.00115,0.0014,103224.08602,36.84602,103357.86849,170.62849,103255.32711,68.08711,103399.12354,211.88354,103365.93886,178.69886,197.03,4427.08143,0.00135,0.00207,0.79335,-0.60876,0.43388,-0.90097,chop,103025.24,-0.00157
2025-11-06 08:45:00,103187.24,103293.31,43000.0,103188.05,9.20606,1e-05,-0.00127,0.00043,0.00059,-0.0023,0.00232,103200.06201,12.01201,103354.50575,166.45575,103232.90141,44.85141,103393.91184,205.86184,103348.99706,160.94706,60293.31,8715.79714,0.0013,0.00207,0.75184,-0.65935,0.43388,-0.90097,chop,103107.75,-0.00078
2025-11-06 09:00:00,103188.05,103261.93,102860.01,103118.78,12.15741,-0.00067,1e-05,-0.00127,0.00043,0.00029,-0.00149,103145.874,27.094,103349.83791,231.05791,103194.86094,76.08094,103387.11846,268.33846,103327.07163,208.29163,401.92,8714.48,0.00124,0.00205,0.70711,-0.70711,0.43388,-0.90097,chop,103118.0,-1e-05
2025-11-06 09:15:00,103118.78,103148.9,102963.47,102963.47,8.17001,-0.00151,-0.00067,1e-05,-0.00127,0.00059,-0.00018,103024.27133,60.80133,103342.18706,378.71706,103117.73063,154.26063,103376.65801,413.18801,103292.4429,328.9729,185.43,8712.76286,0.00103,0.00206,0.65935,-0.75184,0.43388,-0.90097,chop,102867.87,-0.00093
2025-11-06 09:30:00,102963.47,103092.55,102944.04,102988.44,16.61838,0.00024,-0.00151,-0.00067,1e-05,0.00043,-0.00034,103000.38378,11.94378,103335.18217,346.74217,103074.63375,86.19375,103367.07238,378.63238,103263.49024,275.05024,148.51,8670.8,0.00099,0.00205,0.60876,-0.79335,0.43388,-0.90097,chop,103161.94,0.00168
2025-11-06 09:45:00,102988.44,103074.16,102845.0,102845.01,7.16924,-0.00139,0.00024,-0.00151,-0.00067,-0.00127,0.00115,102896.80126,51.79126,103325.47579,480.46579,102998.0925,153.0825,103354.18195,509.17195,103223.63498,378.62498,229.16,8669.16286,0.00103,0.00206,0.55557,-0.83147,0.43388,-0.90097,chop,103240.0,0.00384
2025-11-06 10:00:00,102845.01,102945.99,102661.33,102867.67,9.56797,0.00022,-0.00139,0.00024,-0.00151,1e-05,-0.0023,102877.38042,9.71042,103316.41033,448.74033,102954.61833,86.94833,103342.16931,474.49931,103189.73355,322.06355,284.66,4855.51357,0.00105,0.002,0.5,-0.86603,0.43388,-0.90097,chop,103204.77,0.00328
2025-11-06 10:15:00,102867.22,103087.99,102859.93,103025.24,11.03863,0.00153,0.00022,-0.00139,0.00024,-0.00067,0.00029,102975.95347,-49.28653,103310.64458,285.40458,102978.15889,-47.08111,103334.34389,309.10389,103174.0675,148.8275,228.06,4861.14214,0.0011,0.00201,0.44229,-0.89687,0.43388,-0.90097,chop,103081.53,0.00055
2025-11-06 10:30:00,103025.24,103288.59,103025.23,103107.75,11.84829,0.0008,0.00153,0.00022,-0.00139,-0.00151,0.00059,103063.81782,-43.93218,103306.62686,198.87686,103021.35593,-86.39407,103328.74898,220.99898,103167.75155,60.00155,263.36,4857.52071,0.00095,0.002,0.38268,-0.92388,0.43388,-0.90097,chop,102815.13,-0.00284
2025-11-06 10:45:00,103119.28,103223.23,103025.89,103118.0,10.92591,0.0001,0.0008,0.00153,0.00022,0.00024,0.00043,103099.93927,-18.06073,103302.89168,184.89168,103053.57062,-64.42938,103323.5453,205.5453,103163.01331,45.01331,197.34,4568.43357,0.00095,0.00198,0.32144,-0.94693,0.43388,-0.90097,chop,102449.14,-0.00649
2025-11-06 11:00:00,103118.0,103118.0,102745.92,102867.87,11.02441,-0.00243,0.0001,0.0008,0.00153,-0.00139,-0.00127,102945.22642,77.35642,103294.27739,426.40739,102991.67041,123.80041,103312.29406,444.42406,103134.90442,267.03442,372.08,4541.60429,0.00113,0.00201,0.25882,-0.96593,0.43388,-0.90097,chop,102574.21,-0.00285
2025-11-06 11:15:00,102868.13,103180.0,102827.52,103161.94,8.62585,0.00286,-0.00243,0.0001,0.0008,0.00022,1e-05,103089.70214,-72.23786,103291.65685,129.71685,103048.42694,-113.51306,103308.58162,146.64162,103137.47924,-24.46076,352.48,4544.53857,0.00145,0.00204,0.19509,-0.98079,0.43388,-0.90097,chop,102893.63,-0.0026
2025-11-06 11:30:00,103142.98,103300.01,103103.04,103240.0,9.01386,0.00076,0.00286,-0.00243,0.0001,0.00153,-0.00067,103189.90071,-50.09929,103290.63394,50.63394,103112.28463,-127.71537,103306.88824,66.88824,103147.24312,-92.75688,196.97,4537.07857,0.00143,0.00203,0.13053,-0.99144,0.43388,-0.90097,chop,103509.59,0.00261
