date,open,high,low,close,volume,ret1,ret_lag_1,ret_lag_2,ret_lag_3,ret_lag_5,ret_lag_10,ema_100,ema_diff_100,ema_1,ema_diff_1,ema_20,ema_diff_20,ema_5,ema_diff_5,tr,atr14,vol_12,vol_48,hour_sin,hour_cos,dow_sin,dow_cos,regime,vol_short,vol_long,vol_ratio_strategic,drawdown,max_drawdown_window,atr_pct,atr_pct_ma,atr_pct_ratio,vol_state
2026-03-07 09:00:00,67795.4,68074.97,67738.31,68000.0,332.46219,0.00302,-0.0007,0.00224,-0.00481,-0.00047,-0.00301,69491.99883,1491.99883,68000.0,0.0,68417.91544,417.91544,67924.23091,-75.76909,336.66,335.59286,0.0025,0.00461,0.70711,-0.70711,-0.97493,-0.22252,trend,0.00395,0.00669,0.59016,-0.07343,-0.07787,0.00494,0.01051,0.46959,0.0
2026-03-07 10:00:00,68000.0,68102.73,67870.43,67880.31,319.42039,-0.00176,0.00302,-0.0007,0.00224,-0.00066,0.00259,69460.0842,1579.7742,67880.31,0.0,68366.71492,486.40492,67909.59061,29.28061,232.3,315.84929,0.00252,0.00424,0.5,-0.86603,-0.97493,-0.22252,trend,0.00394,0.00668,0.59018,-0.06906,-0.07787,0.00465,0.01048,0.444,0.0
2026-03-07 11:00:00,67880.31,68232.27,67841.67,68010.01,372.24149,0.00191,-0.00176,0.00302,-0.0007,-0.00481,-0.00042,69431.36986,1421.35986,68010.01,0.0,68332.74303,322.73303,67943.06374,-66.94626,390.6,314.20571,0.00248,0.00421,0.25882,-0.96593,-0.97493,-0.22252,trend,0.00395,0.00668,0.59226,-0.06696,-0.07787,0.00462,0.01045,0.44216,0.0
2026-03-07 12:00:00,68010.0,68085.41,67900.01,67992.54,359.03867,-0.00026,0.00191,-0.00176,0.00302,0.00224,0.00129,69402.87818,1410.33818,67992.54,0.0,68300.34274,307.80274,67959.55583,-32.98417,185.4,311.76714,0.00232,0.00421,0.0,-1.0,-0.97493,-0.22252,trend,0.00391,0.00668,0.58514,-0.06358,-0.07787,0.00459,0.01042,0.44002,0.0
2026-03-07 13:00:00,67992.54,68081.16,67855.82,67931.06,318.23636,-0.0009,-0.00026,0.00191,-0.00176,-0.0007,-0.00372,69373.73326,1442.67326,67931.06,0.0,68265.17295,334.11295,67950.05722,18.99722,225.34,308.89643,0.00233,0.00416,-0.25882,-0.96593,-0.97493,-0.22252,trend,0.00342,0.00655,0.52228,-0.06443,-0.07787,0.00455,0.01039,0.43776,0.0
2026-03-07 14:00:00,67931.06,68083.79,67609.44,68016.7,473.27443,0.00126,-0.0009,-0.00026,0.00191,0.00302,-0.00047,69346.86132,1330.16132,68016.7,0.0,68241.50886,224.80886,67972.27148,-44.42852,474.35,322.18143,0.00233,0.00415,-0.5,-0.86603,-0.97493,-0.22252,trend,0.00256,0.0065,0.39383,-0.05075,-0.07787,0.00474,0.01035,0.45768,0.0
2026-03-07 15:00:00,68016.7,68034.67,67769.89,67877.45,577.84468,-0.00205,0.00126,-0.0009,-0.00026,-0.00176,-0.00066,69317.76406,1440.31406,67877.45,0.0,68206.83659,329.38659,67940.66432,63.21432,264.78,327.65429,0.00215,0.00376,-0.70711,-0.70711,-0.97493,-0.22252,trend,0.00256,0.00648,0.39487,-0.04808,-0.07787,0.00483,0.01031,0.46826,0.0
2026-03-07 16:00:00,67877.45,67889.68,67702.2,67783.63,349.2691,-0.00138,-0.00205,0.00126,-0.0009,0.00191,-0.00481,69287.38517,1503.75517,67783.63,0.0,68166.5312,382.9012,67888.31955,104.68955,187.48,319.10786,0.00218,0.00372,-0.86603,-0.5,-0.97493,-0.22252,trend,0.00257,0.00648,0.39617,-0.04875,-0.07787,0.00471,0.01027,0.45859,0.0
2026-03-07 17:00:00,67783.63,67935.01,67768.97,67788.41,217.68104,7e-05,-0.00138,-0.00205,0.00126,-0.00026,0.00224,69257.70249,1469.29249,67788.41,0.0,68130.51966,342.10966,67855.01636,66.60636,166.04,298.42929,0.00218,0.00356,-0.96593,-0.25882,-0.97493,-0.22252,trend,0.00212,0.00647,0.32823,-0.04868,-0.07787,0.0044,0.01022,0.43084,0.0
2026-03-07 18:00:00,67788.4,67788.41,67480.0,67568.13,1180.24782,-0.00325,7e-05,-0.00138,-0.00205,-0.0009,-0.0007,69224.24561,1656.11561,67568.13,0.0,68076.95874,508.82874,67759.38758,191.25758,308.41,296.835,0.00191,0.00351,-1.0,-0.0,-0.97493,-0.22252,trend,0.00209,0.00645,0.32327,-0.05177,-0.07787,0.00439,0.01017,0.4321,0.0
2026-03-07 19:00:00,67568.13,67572.35,66915.26,67080.34,1312.2302,-0.00722,-0.00325,7e-05,-0.00138,0.00126,0.00302,69181.79204,2101.45204,67080.34,0.0,67982.04267,901.70267,67533.03838,452.69838,657.09,327.16357,0.00265,0.00362,-0.96593,0.25882,-0.97493,-0.22252,trend,0.00251,0.00646,0.38899,-0.05862,-0.07787,0.00488,0.01011,0.48224,0.0
2026-03-07 20:00:00,67080.33,67437.5,67068.01,67402.98,590.47118,0.00481,-0.00722,-0.00325,7e-05,-0.00205,-0.00176,69146.56804,1743.58804,67402.98,0.0,67926.89384,523.91384,67489.68559,86.70559,369.49,324.34643,0.00313,0.00363,-0.86603,0.5,-0.97493,-0.22252,trend,0.00275,0.00643,0.42732,-0.05409,-0.07787,0.00481,0.01007,0.47782,0.0
2026-03-07 21:00:00,67402.98,67483.05,67281.34,67452.98,638.99995,0.00074,0.00481,-0.00722,-0.00325,-0.00138,0.00191,69113.03164,1660.05164,67452.98,0.0,67881.75919,428.77919,67477.45039,24.47039,201.71,308.83857,0.00296,0.00364,-0.70711,0.70711,-0.97493,-0.22252,trend,0.00268,0.00642,0.41771,-0.05339,-0.07787,0.00458,0.01003,0.45647,0.0
2026-03-07 22:00:00,67452.97,67469.87,67101.31,67258.65,706.81324,-0.00288,0.00074,0.00481,-0.00722,7e-05,-0.00026,69076.31121,1817.66121,67258.65,0.0,67822.41546,563.76546,67404.51693,145.86693,368.56,312.015,0.00301,0.00364,-0.5,0.86603,-0.97493,-0.22252,trend,0.00272,0.00641,0.42373,-0.05611,-0.07787,0.00464,0.00999,0.46454,0.0
2026-03-07 23:00:00,67258.65,67403.85,67183.39,67262.91,394.96477,6e-05,-0.00288,0.00074,0.00481,-0.00325,-0.0009,69040.40227,1777.49227,67262.91,0.0,67769.12922,506.21922,67357.31462,94.40462,220.46,303.715,0.00291,0.00361,-0.25882,0.96593,-0.97493,-0.22252,trend,0.00267,0.00641,0.41697,-0.05605,-0.07787,0.00452,0.00994,0.45416,0.0
2026-03-08 00:00:00,67262.91,67481.96,67181.04,67194.77,552.27054,-0.00101,6e-05,-0.00288,0.00074,-0.00722,0.00126,69003.8551,1809.0851,67194.77,0.0,67714.42835,519.65835,67303.13308,108.36308,300.92,308.61643,0.0029,0.00359,0.0,1.0,-0.78183,0.62349,trend,0.00259,0.00641,0.40431,-0.05701,-0.07787,0.00459,0.0099,0.46397,0.0
2026-03-08 01:00:00,67194.77,67353.57,67090.0,67297.27,565.85563,0.00153,-0.00101,6e-05,-0.00288,0.00481,-0.00205,68970.06134,1672.79134,67297.27,0.0,67674.69898,377.42898,67301.17872,3.90872,263.57,299.54286,0.00299,0.00354,0.25882,0.96593,-0.78183,0.62349,trend,0.00263,0.00638,0.41226,-0.05551,-0.07787,0.00445,0.00985,0.45195,0.0
2026-03-08 02:00:00,67297.27,67426.52,66833.58,66925.44,765.90711,-0.00553,0.00153,-0.00101,6e-05,0.00074,-0.00138,68929.57379,2004.13379,66925.44,0.0,67603.34098,677.90098,67175.93248,250.49248,592.94,328.65286,0.00321,0.00359,0.5,0.86603,-0.78183,0.62349,trend,0.00278,0.00638,0.43572,-0.05845,-0.07787,0.00491,0.0098,0.50124,0.0
2026-03-08 03:00:00,66925.45,67083.1,66850.0,67000.26,999.40624,0.00112,-0.00553,0.00153,-0.00101,-0.00288,7e-05,68891.36955,1891.10955,67000.26,0.0,67545.9047,545.6447,67117.37499,117.11499,233.1,329.20714,0.00327,0.0036,0.70711,0.70711,-0.78183,0.62349,trend,0.00274,0.00638,0.42947,-0.05708,-0.07787,0.00491,0.00975,0.50388,0.0
2026-03-08 04:00:00,67000.26,67100.01,66547.15,66637.36,1206.88314,-0.00542,0.00112,-0.00553,0.00153,6e-05,-0.00325,68846.7357,2209.3757,66637.36,0.0,67459.37663,822.01663,66957.36999,320.00999,552.86,334.815,0.0035,0.00357,0.86603,0.5,-0.78183,0.62349,trend,0.00291,0.00639,0.4546,-0.06219,-0.07787,0.00502,0.00971,0.51747,0.0
2026-03-08 05:00:00,66637.35,67250.24,66617.76,67149.93,402.00353,0.00769,-0.00542,0.00112,-0.00553,-0.00101,-0.00722,68813.13559,1663.20559,67149.93,0.0,67429.90552,279.97552,67021.55666,-128.37334,632.48,361.07929,0.00438,0.00379,0.96593,0.25882,-0.78183,0.62349,trend,0.00339,0.00642,0.5284,-0.05498,-0.07787,0.00538,0.00967,0.55591,0.0
2026-03-08 06:00:00,67149.93,67231.86,67035.18,67161.52,246.63235,0.00017,0.00769,-0.00542,0.00112,0.00153,0.00481,68780.43033,1618.91033,67161.52,0.0,67404.345,242.825,67068.21111,-93.30889,196.68,361.73643,0.00432,0.00376,1.0,0.0,-0.78183,0.62349,trend,0.00327,0.00641,0.51033,-0.05481,-0.07787,0.00539,0.00964,0.55901,0.0
2026-03-08 07:00:00,67161.52,67465.11,67154.91,67319.91,1010.57902,0.00236,0.00017,0.00769,-0.00542,-0.00553,0.00074,68751.50913,1431.59913,67319.91,0.0,67396.30357,76.39357,67152.11074,-167.79926,310.2,372.03357,0.00382,0.00363,0.96593,-0.25882,-0.78183,0.62349,trend,0.00327,0.0064,0.51116,-0.04901,-0.07787,0.00553,0.0096,0.57565,0.0
2026-03-08 08:00:00,67319.9,67577.36,67156.93,67539.33,1008.6246,0.00326,0.00236,0.00017,0.00769,0.00112,-0.00288,68727.50559,1188.17559,67539.33,0.0,67409.92513,-129.40487,67281.18383,-258.14617,420.43,380.035,0.00367,0.00366,0.86603,-0.5,-0.78183,0.62349,trend,0.00335,0.00637,0.52599,-0.04289,-0.07787,0.00563,0.00957,0.58823,0.0
